icao_code,country_code,iata_code,lng,name,lat
SKRG,CO,MDE,-75.42,Jose Maria Cordova International Airport,6.17
WARR,ID,SUB,112.79,Juanda International Airport,-7.38
BIKF,IS,KEF,-22.61,Keflavik International Airport,63.99
UKKK,UA,IEV,30.45,Kyiv Zhuliany International Airport,50.4
EPKK,PL,KRK,19.79,John Paul II International Airport Krakow-Balice,50.08
WMKK,MY,KUL,101.71,Kuala Lumpur International Airport,2.75
WIMM,ID,KNO,98.88,Kualanamu International Airport,3.64
KLCH,US,LCH,-93.22,Lake Charles Regional Airport,30.13
EGNM,GB,LBA,-1.66,Leeds Bradford International Airport,53.87
EETN,EE,TLL,24.81,Tallinn Airport,59.42
LOWL,AT,LNZ,14.19,Linz Airport,48.24
EPLL,PL,LCJ,19.4,Lodz Wladyslaw Reymont Airport,51.72
EGLL,GB,LHR,-0.46,London Heathrow Airport,51.47
EGLC,GB,LCY,0.05,London City Airport,51.5
LEMG,ES,AGP,-4.5,Malaga Airport,36.67
LIMC,IT,MXP,8.72,Milano Malpensa Airport,45.63
KMAF,US,MAF,-102.2,Midland International Airport,31.94
LIML,IT,LIN,9.28,Milano Linate Airport,45.46
LTFE,TR,BJV,27.67,Bodrum Milas Airport,37.25
SAEZ,AR,EZE,-58.54,Buenos Aires - Ministro Pistarini International Airport,-34.82
KMSO,US,MSO,-114.09,Missoula International Airport,46.92
EPMO,PL,WMI,20.65,Warsaw-Modlin Mazovia Airport,52.45
KDSM,US,DSM,-93.66,Des Moines International Airport,41.54
LFMT,FR,MPL,3.96,Montpellier-Mediterranee Airport,43.58
CYUL,CA,YUL,-73.75,Montreal-Pierre Elliott Trudeau International Airport,45.46
KMYR,US,MYR,-78.92,Myrtle Beach International Airport,33.68
LIRN,IT,NAP,14.29,Naples International Airport,40.89
WADD,ID,DPS,115.17,Ngurah Rai International Airport,-8.75
MKJP,JM,KIN,-76.79,Norman Manley International Airport,17.94
EKOD,DK,ODE,10.33,Odense Airport,55.48
KSFB,US,SFB,-81.24,Orlando Sanford International Airport,28.78
RJOO,JP,ITM,135.44,Osaka International Airport,34.79
EDLP,DE,PAD,8.62,Paderborn Lippstadt Airport,51.61
LFPB,FR,LBG,2.44,Paris-Le Bourget Airport,48.97
LFPO,FR,ORY,2.37,Paris Orly Airport,48.73
KPNS,US,PNS,-87.19,Pensacola International Airport,30.47
SBBR,BR,BSB,-47.92,Brasilia International Airport,-15.87
ULLI,RU,LED,30.27,Pulkovo Airport,59.8
KLAF,US,LAF,-86.94,Purdue University Airport,40.41
KRIC,US,RIC,-77.32,Richmond International Airport,37.51
WAMM,ID,MDC,124.92,Sam Ratulangi International Airport,1.55
KSMX,US,SMX,-120.46,Santa Maria Airport,34.9
LEST,ES,SCQ,-8.42,Santiago de Compostela Airport,42.9
KSEA,US,SEA,-122.31,Seattle-Tacoma International Airport,47.45
